Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Cloners),Outward issue link (Cloners),Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Text Level),Custom field (Total forms),Custom field ([CHART] Date of First Response),Status Category
"SCLG17 –Verify Register – Verify that clicking on submit button after entering all the mandatory fields, submit the data to the server",NC-101,10333,Story,To Do,NC,N1_CD21CT2,software,Cuong Do,629a01fe9bc7150068cf9d2f,,Medium,,Pham Toan,62995e1b658d5800688a1b61,Pham Toan,62995e1b658d5800688a1b61,Pham Toan,62995e1b658d5800688a1b61,08/Jan/23 1:43 PM,08/Jan/23 2:08 PM,22/Mar/23 4:59 PM,,,0,Login," Verify that clicking on submit button after entering all the mandatory fields, submit the data to the server",,Pham Toan,62995e1b658d5800688a1b61,,,,,,,,,,,DATA TO THE SERVER,,,,,,,,,,NC-27,Login,,,DATA TO THE SERVER,,,,,0|i001yf:,,,,,,,,,,Integration,Enter data into the submit buttons,Pass,,,,To Do
"SCLG16 – Verify Login - If the user has signed up with Facebook or social media, verify that the user can log in with those credentials or not.
",NC-100,10332,Story,To Do,NC,N1_CD21CT2,software,Cuong Do,629a01fe9bc7150068cf9d2f,,Medium,,Pham Toan,62995e1b658d5800688a1b61,Pham Toan,62995e1b658d5800688a1b61,Pham Toan,62995e1b658d5800688a1b61,08/Jan/23 1:23 PM,08/Jan/23 2:08 PM,22/Mar/23 4:59 PM,,,0,Login," If the user has signed up with Facebook or social media, verify that the user can log in with those credentials or not.

Users who use the social network facebook",,Pham Toan,62995e1b658d5800688a1b61,,,,,,,,,,,Logged in successfully,,,,,,,,,,NC-27,Login,,,Logged in successfully,,,,,0|i001y7:,,,,,,,,,,Integration,Enter the email and password of the user who uses the social network facebook,Pass,,,,To Do
SCLG15 – Verify Login - Verify if a user is able to login with a new password only after he/she has changed the password.,NC-99,10331,Story,To Do,NC,N1_CD21CT2,software,Cuong Do,629a01fe9bc7150068cf9d2f,,Medium,,Pham Toan,62995e1b658d5800688a1b61,Pham Toan,62995e1b658d5800688a1b61,Pham Toan,62995e1b658d5800688a1b61,08/Jan/23 1:21 PM,08/Jan/23 1:43 PM,22/Mar/23 4:59 PM,,,0,Login,"Verify if a user is able to login with a new password only after he/she has changed the password.

Enter  email register = ‘phamphuctoan2003434@gmail.com’

Enter password change='0383807250'",,Pham Toan,62995e1b658d5800688a1b61,,,,,,,,,,,Logged in successfully,,,,,,,,,,NC-27,Login,,,Logged in successfully,,,,,0|i001xz:,,,,,,,,,,Integration,Enter email and  password change  in login page,Pass,,,,To Do
SCLG14 – Verify Login - Verify if a user will be able to login with a valid username and valid password.,NC-98,10330,Story,To Do,NC,N1_CD21CT2,software,Cuong Do,629a01fe9bc7150068cf9d2f,,Medium,,Pham Toan,62995e1b658d5800688a1b61,Pham Toan,62995e1b658d5800688a1b61,Pham Toan,62995e1b658d5800688a1b61,08/Jan/23 1:17 PM,08/Jan/23 1:21 PM,22/Mar/23 4:59 PM,,,0,Login,"Verify if a user will be able to login with a valid username and valid password.

Enter  email register = ‘phamphuctoan2003434@gmail.com’

Enter password   register ='123456789'",,Pham Toan,62995e1b658d5800688a1b61,,,,,,,,,,,Logged in successfully,,,,,,,,,,NC-27,Login,,,Logged in successfully,,,,,0|i001xr:,,NC Sprint 1,,,,,,,,Integration,Enter email and password  resgister in login page,Pass,,,,To Do
SCLG13 – Verify Login – Verify if email  cannot login with a valid username and an invalid password.,NC-97,10329,Story,To Do,NC,N1_CD21CT2,software,Cuong Do,629a01fe9bc7150068cf9d2f,,Medium,,Pham Toan,62995e1b658d5800688a1b61,Pham Toan,62995e1b658d5800688a1b61,Pham Toan,62995e1b658d5800688a1b61,08/Jan/23 1:12 PM,08/Jan/23 1:20 PM,22/Mar/23 4:59 PM,,,0,Login,"Verify if a user cannot login with a valid username and an invalid password.

Enter  email no register = ‘fsdfs2003sss@gmail.com’

Enter password no register ='0383802557'",,Pham Toan,62995e1b658d5800688a1b61,,,,,,,,,,,Login unsuccessful,,,,,,,,,,NC-27,Login,,,Login unsuccessful,,,,,0|i001xj:,,NC Sprint 1,,,,,,,,Integration,Enter email and password no resgister in login page,Pass,,,,To Do
"SCLG12 – Verify Login, Register - Verify that tab functionality is working properly or not",NC-96,10328,Story,To Do,NC,N1_CD21CT2,software,Cuong Do,629a01fe9bc7150068cf9d2f,,Medium,,Pham Toan,62995e1b658d5800688a1b61,Pham Toan,62995e1b658d5800688a1b61,Pham Toan,62995e1b658d5800688a1b61,08/Jan/23 1:03 PM,08/Jan/23 1:17 PM,22/Mar/23 4:59 PM,,,0,Login,"Verify Login, Register - Verify that tab functionality is working properly or not

Proceed to login",,Pham Toan,62995e1b658d5800688a1b61,,,,,,,,,,,Tabs work normally,,,,,,,,,,NC-27,Login,,,Tabs work normally,,,,,0|i001xb:,,NC Sprint 1,,,,,,,,Integration,After registration progress click on test tabs,Pass,,,,To Do
"SCLG11 –Verify Login, Register - Verify if the 'Enter' key of the keyboard is working correctly on the login page",NC-95,10327,Story,To Do,NC,N1_CD21CT2,software,Cuong Do,629a01fe9bc7150068cf9d2f,,Medium,,Pham Toan,62995e1b658d5800688a1b61,Pham Toan,62995e1b658d5800688a1b61,Pham Toan,62995e1b658d5800688a1b61,08/Jan/23 12:59 PM,08/Jan/23 1:12 PM,22/Mar/23 4:59 PM,,,0,Login,"Verify if the 'Enter' key of the keyboard is working correctly on the login page

Enter information  :

email = 'phamphuctoan2003434@gmail.com

password='123456789'",,Pham Toan,62995e1b658d5800688a1b61,,,,,,,,,,,Logged in successfully,,,,,,,,,,NC-27,Login,,,Logged in successfully,,,,,0|i001x3:,,NC Sprint 1,,,,,,,,Integration,"Enter information  :
 1.email = 'phamphuctoan2003434@gmail.com
2.password='123456789'
3. press enter key",Pass,,,,To Do
"SCLG10 –Verify Register, Login – If the registration is successful, you must log in successfully",NC-94,10326,Story,To Do,NC,N1_CD21CT2,software,Cuong Do,629a01fe9bc7150068cf9d2f,,Medium,,Pham Toan,62995e1b658d5800688a1b61,Pham Toan,62995e1b658d5800688a1b61,Pham Toan,62995e1b658d5800688a1b61,08/Jan/23 12:55 PM,08/Jan/23 1:03 PM,22/Mar/23 4:59 PM,,,0,Login,"If the registration is successful, you must log in successfully

Enter information according to registration information :

 email = 'phamphuctoan2003434@gmail.com

password='123456789'",,Pham Toan,62995e1b658d5800688a1b61,,,,,,,,,,,Logged in successfully,,,,,,,,,,NC-27,Login,,,Logged in successfully,,,,,0|i001wv:,,NC Sprint 1,,,,,,,,Integration,Enter the content in password Login,Pass,,,,To Do
"IPLG09–  Verify Password login – If password login is invalid, System displays an error",NC-93,10325,Story,To Do,NC,N1_CD21CT2,software,Cuong Do,629a01fe9bc7150068cf9d2f,,Medium,,Pham Toan,62995e1b658d5800688a1b61,Pham Toan,62995e1b658d5800688a1b61,Pham Toan,62995e1b658d5800688a1b61,08/Jan/23 12:47 PM,08/Jan/23 12:58 PM,22/Mar/23 4:59 PM,,,0,Login,"If Login password is invalid, System displays an error

Enter password Login = ‘124’",,Pham Toan,62995e1b658d5800688a1b61,,,,,,,,,,NC-92,Error display system,,,,,,,,,,NC-27,Login,,,Error display system,,,,,0|i001wn:,,NC Sprint 1,,,,,,,,Integration,Enter the content in password Login,Pass,,,,To Do
"IPLG08–  Verify Email ID – If Email ID is invalid, System displays an error",NC-92,10324,Story,To Do,NC,N1_CD21CT2,software,Cuong Do,629a01fe9bc7150068cf9d2f,,Medium,,Pham Toan,62995e1b658d5800688a1b61,Pham Toan,62995e1b658d5800688a1b61,Pham Toan,62995e1b658d5800688a1b61,08/Jan/23 12:39 PM,08/Jan/23 12:47 PM,22/Mar/23 4:59 PM,,,0,Login,"If Email ID is invalid, System displays an error

Enter Email Login = ‘[phamphuctoan2003434.com|http://phamphuctoan2003434.com]’",,Pham Toan,62995e1b658d5800688a1b61,,,,,,,,,NC-93,,Error display system,,,,,,,,,,NC-27,Login,,,Error display system,,,,,0|i001wf:,,NC Sprint 1,,,,,,,,Integration,Enter the content in Email Login,Pass,,,,To Do
